Östlig koordinat;Nordlig koordinat;z;Plats;Djup (längd);Borr-avslut;diameter (mm);material;Rör överkant (Rök);Rör över marknivå (Röm);Marknivå;obsid;Status;Copy this Data for Point;Copy for Point ID;Placering
154693.602;6591914.395;0;DP4;4,99;;50;PEH;13,018;0,96;12,058;21ST184;aktiv;point 154693.602,6591914.395,0;-text 154693.602,6591914.395,0   21ST184;Behöver flyttas västerut till 1m från utsida arbetsbädd eller tas bort
154551.566;6592070.695;0;DP4;4;;51;stål;13,192;1;12,192;21ST187;aktiv;point 154551.566,6592070.695,0;-text 154551.566,6592070.695,0   21ST187;Behöver flyttas västerut ca. 10m från urskiftning
154575.373;6591985.028;0;DP4;5,86;;50;PEH;12,474;0,75;11,724;21ST189;aktiv;point 154575.373,6591985.028,0;-text 154575.373,6591985.028,0   21ST189;-
154603.479;6592018.02;0;DP4;6,14;;25,4;stål;13,242;0;12,328;23ST4306;aktiv;point 154603.479,6592018.02,0;-text 154603.479,6592018.02,0   23ST4306;-
155261.98;6592348.475;0;DP5;6;;41;PEH;14,3;1,56;12,741;19SVM106;aktiv;point 155261.98,6592348.475,0;-text 155261.98,6592348.475,0   19SVM106;Behöver flyttas eller tas bort i samråd med TK
155254.769;6592313.469;0;DP5;6,5;;25,4;stål;14,4;1,13;13,268;19SVM107;aktiv;point 155254.769,6592313.469,0;-text 155254.769,6592313.469,0   19SVM107;Behöver flyttas eller tas bort i samråd med TK
155172.669;6592020.564;0;DP5;4;;25,4;stål;22,6;1,03;21,575;19SVM110;aktiv;point 155172.669,6592020.564,0;-text 155172.669,6592020.564,0   19SVM110;Hanteras i samråd med TK
155221.3707;6592119.57;0;DP5;1,97;;51;stål;18,7;0,67;18,027;19T03G;aktiv;point 155221.3707,6592119.57,0;-text 155221.3707,6592119.57,0   19T03G;Behöver flyttas eller tas bort
155235.877;6592261.929;0;DP5;3,76;;0;;15,571;0,5;15,071;22E209GV;aktiv;point 155235.877,6592261.929,0;-text 155235.877,6592261.929,0   22E209GV;Behöver flyttas eller tas bort
155213.339;6592242.68;0;DP5;5,84;;0;;19,33;0;18,21;22E211GU;aktiv;point 155213.339,6592242.68,0;-text 155213.339,6592242.68,0   22E211GU;Behöver flyttas eller tas bort
154466.0309;6591700.007;0;galoppfältet;0;;51;stål;13,65;0,9;12,7517;21BT15;aktiv;point 154466.0309,6591700.007,0;-text 154466.0309,6591700.007,0   21BT15;-
154688.1318;6592134.481;0;galoppfältet;0;;51;stål;14,375;0,7;13,6747;21BT34;aktiv;point 154688.1318,6592134.481,0;-text 154688.1318,6592134.481,0   21BT34;-
155378.5961;6592786.419;0;gc_tunnel;0;;0;;12,425;0,45;0;08W04G;aktiv;point 155378.5961,6592786.419,0;-text 155378.5961,6592786.419,0   08W04G;TKs mättning
154964.44;6592857.809;0;kava;0;;0;;17,204;0;16,324;21LE19G;aktiv;point 154964.44,6592857.809,0;-text 154964.44,6592857.809,0   21LE19G;TKs mättning
155533.365;6592598.719;0;kava/gc-tunnel;0;;0;;8,894;0;7,974;21LE99G;aktiv;point 155533.365,6592598.719,0;-text 155533.365,6592598.719,0   21LE99G;TKs mättning
154725.409;6591605.767;0;Koppling7;5;;25,4;stål;14,2;1,34;12,862;19SVM114;aktiv;point 154725.409,6591605.767,0;-text 154725.409,6591605.767,0   19SVM114;-
154752.1452;6591579.305;0;Koppling7;6;;50;PEH;13,08;0,95;12,13;21BT04_M;aktiv;point 154752.1452,6591579.305,0;-text 154752.1452,6591579.305,0   21BT04_M;-
154829.5327;6592176.243;0;ovrig;5,65;;41;PEH;15,76;0,31;15,45;GW18_7M;aktiv;point 154829.5327,6592176.243,0;-text 154829.5327,6592176.243,0   GW18_7M;-
154733.99;6591914.18;0;DP4;0;;0;;0;0;0;dvdamm;aktiv;point 154733.99,6591914.18,0;-text 154733.99,6591914.18,0   dvdamm;Behöver flyttas inom 2 år (i samråd med TK)
;;;;;;;;;;;;;;;
